FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case.Fatality_Ratio
1049,DeKalb,Alabama,US,16/10/2020 04:24,34.45946862,-85.80782906,2996,26,0,2970,"DeKalb, Alabama, US",4189.448072,0.867823765
1051,Elmore,Alabama,US,16/10/2020 04:24,32.59785413,-86.14415284,3028,52,0,2976,"Elmore, Alabama, US",3728.650765,1.717305152
1053,Escambia,Alabama,US,16/10/2020 04:24,31.1256789,-87.15918694,1691,27,0,1664,"Escambia, Alabama, US",4616.056561,1.59668835
1055,Etowah,Alabama,US,16/10/2020 04:24,34.04567266,-86.04051873,3896,48,0,3848,"Etowah, Alabama, US",3809.59831,1.232032854
1057,Fayette,Alabama,US,16/10/2020 04:24,33.72076938,-87.73886638,525,11,0,514,"Fayette, Alabama, US",3220.463747,2.095238095
1059,Franklin,Alabama,US,16/10/2020 04:24,34.44235334,-87.84289505,1928,31,0,1897,"Franklin, Alabama, US",6147.567119,1.607883817
1061,Geneva,Alabama,US,16/10/2020 04:24,31.09389027,-85.83572839,810,7,0,803,"Geneva, Alabama, US",3083.247688,0.864197531
1063,Greene,Alabama,US,16/10/2020 04:24,32.85504247,-87.95684022,328,15,0,313,"Greene, Alabama, US",4043.891012,4.573170732
1065,Hale,Alabama,US,16/10/2020 04:24,32.76039258,-87.63284988,726,29,0,697,"Hale, Alabama, US",4955.293154,3.994490358
1067,Henry,Alabama,US,16/10/2020 04:24,31.51148016,-85.24267944,615,6,0,609,"Henry, Alabama, US",3574.542284,0.975609756
1069,Houston,Alabama,US,16/10/2020 04:24,31.15197924,-85.29939599,3559,29,0,3530,"Houston, Alabama, US",3361.288982,0.814835628
1071,Jackson,Alabama,US,16/10/2020 04:24,34.78144169,-85.99750489,1901,13,0,1888,"Jackson, Alabama, US",3682.253128,0.683850605
1073,Jefferson,Alabama,US,16/10/2020 04:24,33.55554728,-86.895063,21897,364,0,21533,"Jefferson, Alabama, US",3324.916144,1.662328173
1075,Lamar,Alabama,US,16/10/2020 04:24,33.77995024,-88.09668032,429,3,0,426,"Lamar, Alabama, US",3107.569721,0.699300699
1077,Lauderdale,Alabama,US,16/10/2020 04:24,34.90171875,-87.65624729,1974,39,0,1935,"Lauderdale, Alabama, US",2128.783876,1.975683891
1079,Lawrence,Alabama,US,16/10/2020 04:24,34.52041498,-87.31069453,759,30,0,729,"Lawrence, Alabama, US",2305.309197,3.95256917
1081,Lee,Alabama,US,16/10/2020 04:24,32.60154883,-85.35132246,6367,66,0,6301,"Lee, Alabama, US",3869.528753,1.036594943
1083,Limestone,Alabama,US,16/10/2020 04:24,34.81185586,-86.98310072,2605,27,0,2578,"Limestone, Alabama, US",2633.574281,1.03646833
1085,Lowndes,Alabama,US,16/10/2020 04:24,32.1597283,-86.65158371,687,27,0,660,"Lowndes, Alabama, US",7063.541024,3.930131004
1087,Macon,Alabama,US,16/10/2020 04:24,32.38759944,-85.69267724,521,19,0,502,"Macon, Alabama, US",2883.551029,3.646833013
1089,Madison,Alabama,US,16/10/2020 04:24,34.76327133,-86.55069633,8742,88,0,8654,"Madison, Alabama, US",2344.271659,1.006634637
1091,Marengo,Alabama,US,16/10/2020 04:24,32.24767634,-87.78796182,928,21,0,907,"Marengo, Alabama, US",4919.684038,2.262931034
1093,Marion,Alabama,US,16/10/2020 04:24,34.13697363,-87.88704173,1032,29,0,1003,"Marion, Alabama, US",3473.69484,2.810077519
1095,Marshall,Alabama,US,16/10/2020 04:24,34.36975964,-86.30486727,4194,47,0,4147,"Marshall, Alabama, US",4333.808668,1.120648546
1097,Mobile,Alabama,US,16/10/2020 04:24,30.78472347,-88.20842409,14120,313,0,13807,"Mobile, Alabama, US",3417.148665,2.216713881
1099,Monroe,Alabama,US,16/10/2020 04:24,31.56729412,-87.36995001,618,9,0,609,"Monroe, Alabama, US",2980.755318,1.45631068
1101,Montgomery,Alabama,US,16/10/2020 04:24,32.2206831,-86.20969272,9453,195,0,9258,"Montgomery, Alabama, US",4173.767915,2.062837195
1103,Morgan,Alabama,US,16/10/2020 04:24,34.45500589,-86.85475946,3800,32,0,3768,"Morgan, Alabama, US",3175.16022,0.842105263
80001,Out of AL,Alabama,US,16/10/2020 04:24,NA,NA,0,0,0,0,"Out of AL, Alabama, US",NA,NA
1105,Perry,Alabama,US,16/10/2020 04:24,32.64048341,-87.29770589,577,6,0,571,"Perry, Alabama, US",6466.435055,1.039861352
1107,Pickens,Alabama,US,16/10/2020 04:24,33.28094866,-88.08818103,761,17,0,744,"Pickens, Alabama, US",3818.364275,2.23390276
1109,Pike,Alabama,US,16/10/2020 04:24,31.80396383,-85.9408295,1288,12,0,1276,"Pike, Alabama, US",3889.593525,0.931677019
1111,Randolph,Alabama,US,16/10/2020 04:24,33.29526734,-85.45708831,766,14,0,752,"Randolph, Alabama, US",3371.182114,1.82767624
1113,Russell,Alabama,US,16/10/2020 04:24,32.28725256,-85.18415324,1874,3,0,1871,"Russell, Alabama, US",3233.208537,0.160085379
1117,Shelby,Alabama,US,16/10/2020 04:24,33.26879845,-86.66232561,6853,60,0,6793,"Shelby, Alabama, US",3147.881048,0.875528965
1115,St. Clair,Alabama,US,16/10/2020 04:24,33.71902176,-86.31029372,2676,42,0,2634,"St. Clair, Alabama, US",2989.543301,1.569506726
1119,Sumter,Alabama,US,16/10/2020 04:24,32.59117397,-88.19916205,461,21,0,440,"Sumter, Alabama, US",3709.66444,4.555314534
1121,Talladega,Alabama,US,16/10/2020 04:24,33.37823223,-86.16886178,2473,34,0,2439,"Talladega, Alabama, US",3092.100328,1.374848362
1123,Tallapoosa,Alabama,US,16/10/2020 04:24,32.86698258,-85.79833053,1245,85,0,1160,"Tallapoosa, Alabama, US",3084.202443,6.827309237
1125,Tuscaloosa,Alabama,US,16/10/2020 04:24,33.28726072,-87.52556818,9702,130,0,9572,"Tuscaloosa, Alabama, US",4634.233718,1.339929911
90001,Unassigned,Alabama,US,16/10/2020 04:24,NA,NA,0,0,0,0,"Unassigned, Alabama, US",NA,NA
1127,Walker,Alabama,US,16/10/2020 04:24,33.80270512,-87.30027177,2602,91,0,2511,"Walker, Alabama, US",4096.283119,3.497309762
1129,Washington,Alabama,US,16/10/2020 04:24,31.4092794,-88.20689944,613,12,0,601,"Washington, Alabama, US",3754.747029,1.957585644
1131,Wilcox,Alabama,US,16/10/2020 04:24,31.98773215,-87.30891118,554,12,0,542,"Wilcox, Alabama, US",5340.788586,2.166064982
1133,Winston,Alabama,US,16/10/2020 04:24,34.15030532,-87.37325922,865,13,0,852,"Winston, Alabama, US",3660.755851,1.502890173
2013,Aleutians East,Alaska,US,16/10/2020 04:24,55.32222414,-161.9722021,5,0,0,5,"Aleutians East, Alaska, US",149.8351813,0
2016,Aleutians West,Alaska,US,16/10/2020 04:24,52.3233,-174.1596,5,0,0,5,"Aleutians West, Alaska, US",88.74689386,0
2020,Anchorage,Alaska,US,16/10/2020 04:24,61.14998174,-149.1426986,5777,41,0,5736,"Anchorage, Alaska, US",2005.902778,0.709710923
2050,Bethel,Alaska,US,16/10/2020 04:24,60.90980451,-159.8561831,214,1,0,213,"Bethel, Alaska, US",1163.929076,0.46728972
2060,Bristol Bay,Alaska,US,16/10/2020 04:24,58.74513976,-156.701064,10,0,0,10,"Bristol Bay, Alaska, US",1196.172249,0
2068,Denali,Alaska,US,16/10/2020 04:24,63.67264044,-150.0076108,13,0,0,13,"Denali, Alaska, US",619.933238,0
2070,Dillingham,Alaska,US,16/10/2020 04:24,59.79603738,-158.2381942,12,0,0,12,"Dillingham, Alaska, US",244.100895,0
2090,Fairbanks North Star,Alaska,US,16/10/2020 04:24,64.80726247,-146.5692662,1646,11,0,1635,"Fairbanks North Star, Alaska, US",1699.552912,0.668286756
2100,Haines,Alaska,US,16/10/2020 04:24,59.09893571,-135.4679843,6,0,0,6,"Haines, Alaska, US",237.1541502,0
2110,Juneau,Alaska,US,16/10/2020 04:24,58.45031811,-134.200436,338,3,0,335,"Juneau, Alaska, US",1057.108901,0.887573964
2122,Kenai Peninsula,Alaska,US,16/10/2020 04:24,60.24429722,-151.5388884,542,3,0,539,"Kenai Peninsula, Alaska, US",923.2131907,0.553505535
2130,Ketchikan Gateway,Alaska,US,16/10/2020 04:24,55.57445008,-130.975561,56,0,0,56,"Ketchikan Gateway, Alaska, US",402.8487159,0
2150,Kodiak Island,Alaska,US,16/10/2020 04:24,57.65529415,-153.7493579,41,0,0,41,"Kodiak Island, Alaska, US",315.4331436,0
2158,Kusilvak,Alaska,US,16/10/2020 04:24,62.1542916,-163.3967883,24,0,0,24,"Kusilvak, Alaska, US",288.6697137,0
2170,Matanuska-Susitna,Alaska,US,16/10/2020 04:24,62.31305045,-149.5741743,778,2,0,776,"Matanuska-Susitna, Alaska, US",718.262138,0.257069409
2180,Nome,Alaska,US,16/10/2020 04:24,64.90320724,-164.0353804,107,0,0,107,"Nome, Alaska, US",1069.572171,0
2185,North Slope,Alaska,US,16/10/2020 04:24,69.31479216,-153.4836093,180,0,0,180,"North Slope, Alaska, US",1830.756713,0
2188,Northwest Arctic,Alaska,US,16/10/2020 04:24,67.04919196,-159.7503946,191,0,0,191,"Northwest Arctic, Alaska, US",2506.232778,0
2195,Petersburg,Alaska,US,16/10/2020 04:24,57.13978948,-132.9540995,8,1,0,7,"Petersburg, Alaska, US",244.9479486,12.5
2198,Prince of Wales-Hyder,Alaska,US,16/10/2020 04:24,55.76261984,-133.0511621,31,0,0,31,"Prince of Wales-Hyder, Alaska, US",499.7581815,0
2220,Sitka,Alaska,US,16/10/2020 04:24,57.24124555,-135.3206587,55,0,0,55,"Sitka, Alaska, US",647.5921347,0
2240,Southeast Fairbanks,Alaska,US,16/10/2020 04:24,63.87692095,-143.2127643,36,0,0,36,"Southeast Fairbanks, Alaska, US",522.2689685,0
90002,Unassigned,Alaska,US,16/10/2020 04:24,NA,NA,23,0,0,23,"Unassigned, Alaska, US",NA,0
2261,Valdez-Cordova,Alaska,US,16/10/2020 04:24,61.47502768,-144.7126799,93,1,0,92,"Valdez-Cordova, Alaska, US",1010.649859,1.075268817
2275,Wrangell,Alaska,US,16/10/2020 04:24,56.3202004,-132.0583731,13,0,0,13,"Wrangell, Alaska, US",519.5843325,0
2282,Yakutat,Alaska,US,16/10/2020 04:24,59.8909808,-140.3601451,25,0,0,25,"Yakutat, Alaska, US",4317.789292,0
2290,Yukon-Koyukuk,Alaska,US,16/10/2020 04:24,65.50815459,-151.3907387,94,2,0,92,"Yukon-Koyukuk, Alaska, US",1797.323136,2.127659574
4001,Apache,Arizona,US,16/10/2020 04:24,35.39465006,-109.4892383,3742,167,0,3575,"Apache, Arizona, US",5205.391795,4.462854089
4003,Cochise,Arizona,US,16/10/2020 04:24,31.87934684,-109.7516088,2005,73,0,1932,"Cochise, Arizona, US",1592.255523,3.640897756
4005,Coconino,Arizona,US,16/10/2020 04:24,35.83883429,-111.7707178,4629,145,0,4484,"Coconino, Arizona, US",3226.323566,3.13242601
4007,Gila,Arizona,US,16/10/2020 04:24,33.80190085,-110.8132779,1633,62,0,1571,"Gila, Arizona, US",3023.066385,3.796693203
4009,Graham,Arizona,US,16/10/2020 04:24,32.93166885,-109.8882178,977,26,0,951,"Graham, Arizona, US",2515.6423,2.661207779
4011,Greenlee,Arizona,US,16/10/2020 04:24,33.21498827,-109.2405279,70,1,0,69,"Greenlee, Arizona, US",736.9972626,1.428571429
4012,La Paz,Arizona,US,16/10/2020 04:24,33.72854224,-113.9810029,577,16,0,561,"La Paz, Arizona, US",2733.560735,2.772963605
4013,Maricopa,Arizona,US,16/10/2020 04:24,33.34835867,-112.4918154,148152,3489,0,144663,"Maricopa, Arizona, US",3302.972702,2.35501377
4015,Mohave,Arizona,US,16/10/2020 04:24,35.70471703,-113.7577902,4138,228,0,3910,"Mohave, Arizona, US",1950.221745,5.509908168
4017,Navajo,Arizona,US,16/10/2020 04:24,35.3997715,-110.3218983,6120,236,0,5884,"Navajo, Arizona, US",5517.291118,3.85620915
4019,Pima,Arizona,US,16/10/2020 04:24,32.0971334,-111.7890033,26727,633,0,26094,"Pima, Arizona, US",2552.042006,2.368391514
4021,Pinal,Arizona,US,16/10/2020 04:24,32.90525627,-111.3449483,11203,213,0,10990,"Pinal, Arizona, US",2420.757624,1.901276444
4023,Santa Cruz,Arizona,US,16/10/2020 04:24,31.52508998,-110.8479088,2935,64,0,2871,"Santa Cruz, Arizona, US",6312.099445,2.180579216
90004,Unassigned,Arizona,US,16/10/2020 04:24,NA,NA,0,1,0,NA,"Unassigned, Arizona, US",NA,NA
4025,Yavapai,Arizona,US,16/10/2020 04:24,34.59933926,-112.5538588,2748,86,0,2662,"Yavapai, Arizona, US",1168.869285,3.129548763
4027,Yuma,Arizona,US,16/10/2020 04:24,32.76895712,-113.9066674,13092,349,0,12743,"Yuma, Arizona, US",6123.852245,2.665750076
5001,Arkansas,Arkansas,US,16/10/2020 04:24,34.29145151,-91.37277296,582,11,0,571,"Arkansas, Arkansas, US",3328.376987,1.890034364
5003,Ashley,Arkansas,US,16/10/2020 04:24,33.19153461,-91.7698471,491,12,0,479,"Ashley, Arkansas, US",2497.83792,2.443991853
5005,Baxter,Arkansas,US,16/10/2020 04:24,36.28784385,-92.33782872,506,5,0,501,"Baxter, Arkansas, US",1206.715635,0.988142292
5007,Benton,Arkansas,US,16/10/2020 04:24,36.33644656,-94.25680817,7445,102,0,7343,"Benton, Arkansas, US",2667.110887,1.370047011
5009,Boone,Arkansas,US,16/10/2020 04:24,36.3084504,-93.09374925,912,27,0,885,"Boone, Arkansas, US",2436.418038,2.960526316
5011,Bradley,Arkansas,US,16/10/2020 04:24,33.46755808,-92.15980837,350,8,0,342,"Bradley, Arkansas, US",3251.881446,2.285714286
5013,Calhoun,Arkansas,US,16/10/2020 04:24,33.55598792,-92.49974403,40,0,0,40,"Calhoun, Arkansas, US",770.8614377,0
5015,Carroll,Arkansas,US,16/10/2020 04:24,36.3403856,-93.54270261,907,12,0,895,"Carroll, Arkansas, US",3195.912615,1.323042999
5017,Chicot,Arkansas,US,16/10/2020 04:24,33.26458973,-91.29539209,1025,22,0,1003,"Chicot, Arkansas, US",10130.46057,2.146341463
5019,Clark,Arkansas,US,16/10/2020 04:24,34.04613432,-93.17484713,448,5,0,443,"Clark, Arkansas, US",2007.168459,1.116071429
5021,Clay,Arkansas,US,16/10/2020 04:24,36.36826212,-90.4148172,405,11,0,394,"Clay, Arkansas, US",2783.313862,2.716049383
5023,Cleburne,Arkansas,US,16/10/2020 04:24,35.53864922,-92.02640019,406,14,0,392,"Cleburne, Arkansas, US",1629.278864,3.448275862
5025,Cleveland,Arkansas,US,16/10/2020 04:24,33.89723187,-92.18537045,198,12,0,186,"Cleveland, Arkansas, US",2488.687783,6.060606061
5027,Columbia,Arkansas,US,16/10/2020 04:24,33.21230701,-93.22642793,634,19,0,615,"Columbia, Arkansas, US",2702.817922,2.996845426
5029,Conway,Arkansas,US,16/10/2020 04:24,35.26205537,-92.70506566,324,3,0,321,"Conway, Arkansas, US",1554.255013,0.925925926
5031,Craighead,Arkansas,US,16/10/2020 04:24,35.83018283,-90.63235729,3863,32,0,3831,"Craighead, Arkansas, US",3501.25077,0.828371732
5033,Crawford,Arkansas,US,16/10/2020 04:24,35.58928601,-94.2446814,1803,22,0,1781,"Crawford, Arkansas, US",2850.27744,1.220188575
5035,Crittenden,Arkansas,US,16/10/2020 04:24,35.21247318,-90.30839406,2131,51,0,2080,"Crittenden, Arkansas, US",4443.749348,2.393242609
5037,Cross,Arkansas,US,16/10/2020 04:24,35.29631396,-90.77185818,521,19,0,502,"Cross, Arkansas, US",3173.153054,3.646833013
5039,Dallas,Arkansas,US,16/10/2020 04:24,33.97042763,-92.65167437,177,5,0,172,"Dallas, Arkansas, US",2525.324583,2.824858757
5041,Desha,Arkansas,US,16/10/2020 04:24,33.83011025,-91.25500948,357,7,0,350,"Desha, Arkansas, US",3142.32902,1.960784314
5043,Drew,Arkansas,US,16/10/2020 04:24,33.59035001,-91.71777921,387,7,0,380,"Drew, Arkansas, US",2124.156101,1.80878553
5045,Faulkner,Arkansas,US,16/10/2020 04:24,35.14719007,-92.33717519,3038,27,0,3011,"Faulkner, Arkansas, US",2410.977168,0.888742594
5047,Franklin,Arkansas,US,16/10/2020 04:24,35.51202821,-93.89299569,439,2,0,437,"Franklin, Arkansas, US",2478.125882,0.455580866
5049,Fulton,Arkansas,US,16/10/2020 04:24,36.38177105,-91.81729127,257,8,0,249,"Fulton, Arkansas, US",2059.790014,3.112840467
5051,Garland,Arkansas,US,16/10/2020 04:24,34.57692074,-93.14921604,2206,57,0,2149,"Garland, Arkansas, US",2219.628519,2.583862194
